,City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
32,Dikson,RU,100,1578922049,94,73.51,80.55,-0.54,20.22
33,Saint-Philippe,RE,100,1578922049,73,-21.36,55.77,77.86,10.22
34,Bikaner,IN,81,1578922049,58,28.02,73.3,58.62,12.82
35,Mataura,NZ,0,1578922049,85,-46.19,168.86,45.0,1.3
36,Darhan,MN,0,1578922049,87,49.49,105.92,-9.54,1.92
37,Ushuaia,AR,99,1578921899,86,-54.8,-68.3,51.46,5.35
38,Cherskiy,RU,100,1578922049,98,68.75,161.3,-13.67,5.28
39,Nanortalik,GL,28,1578922049,49,60.14,-45.24,16.38,16.04
40,Kalmunai,LK,9,1578922049,68,7.42,81.82,79.36,16.24
41,Tuktoyaktuk,CA,0,1578922049,75,69.45,-133.04,-6.03,15.64
42,Bama,NG,86,1578922050,11,11.52,13.69,95.9,11.34
43,Havre-Saint-Pierre,CA,33,1578922050,75,50.23,-63.6,10.42,9.78
44,Geraldton,AU,0,1578922050,77,-28.77,114.6,72.99,26.75
45,Raduzhny,RU,100,1578922050,92,62.1,77.47,8.08,13.13
46,Bethel,US,100,1578921964,84,41.37,-73.41,34.77,1.99
47,Butaritari,KI,47,1578922050,77,3.07,172.79,84.16,12.1
48,Harper,LR,74,1578922050,49,4.38,-7.72,94.93,1.79
49,Alice Springs,AU,89,1578922050,17,-23.7,133.88,87.6,12.41
50,Saint George,US,50,1578921797,80,37.1,-113.58,29.62,1.52
51,Mahebourg,MU,40,1578922050,74,-20.41,57.7,83.16,11.41
52,Fuzhou,CN,14,1578921902,94,26.06,119.31,47.16,5.84
53,Kodiak,US,5,1578922050,79,57.79,-152.41,36.0,11.01
54,Kaitangata,NZ,0,1578922051,83,-46.28,169.85,46.99,1.81
55,New Norfolk,AU,35,1578922051,77,-42.78,147.06,57.85,1.12
56,Cayenne,GF,90,1578922051,89,4.93,-52.33,76.73,7.52
57,Saskylakh,RU,89,1578922051,92,71.92,114.08,-16.91,4.32
58,Bathsheba,BB,1,1578922051,73,13.22,-59.52,77.7,23.8
59,Pangnirtung,CA,100,1578922051,98,66.15,-65.71,-31.0,3.11
60,Avarua,CK,62,1578921832,78,-21.21,-159.78,80.04,15.99
61,Hay River,CA,100,1578922051,100,60.82,-115.8,-22.43,8.84
62,Carnarvon,AU,11,1578922051,78,-24.87,113.63,77.4,18.95
63,Jamestown,US,100,1578922051,94,42.1,-79.24,35.11,4.0
64,Puerto Cabezas,NI,17,1578922051,93,14.04,-83.39,74.68,6.35
65,Baturaja,ID,97,1578922002,95,-4.13,104.17,74.97,4.88
66,Torbay,CA,100,1578922051,79,47.67,-52.73,19.76,1.01
67,Punta Arenas,CL,100,1578921766,87,-53.15,-70.92,55.0,8.01
68,Nivala,FI,1,1578922052,89,63.92,25.0,28.0,1.99
69,Athens,GR,43,1578922052,62,37.98,23.72,53.76,5.99
70,Oyama,JP,15,1578922052,54,36.3,139.8,47.28,6.58
71,Hofn,IS,86,1578922052,71,64.25,-15.21,35.83,33.6
72,Pasni,PK,0,1578922052,23,25.26,63.47,64.58,14.34
73,Oranjestad,AW,0,1578921949,77,12.52,-70.03,80.06,26.26
74,Mzimba,MW,85,1578922052,75,-11.9,33.6,73.29,5.44
75,Kavieng,PG,100,1578922052,76,-2.57,150.8,84.22,14.72
76,Kahului,US,100,1578922052,86,20.89,-156.47,70.0,18.01
77,Souillac,MU,40,1578922052,74,-20.52,57.52,83.17,11.41
78,Cape Town,ZA,33,1578921971,69,-33.93,18.42,78.01,18.99
79,Sangar,RU,100,1578922052,95,63.92,127.47,-18.85,7.85
80,Gizo,SB,96,1578922052,88,-8.1,156.84,79.05,13.24
81,Dunmore East,IE,100,1578922053,94,52.15,-6.99,44.83,11.01
82,Fairbanks,US,72,1578922053,76,64.84,-147.72,-11.24,1.61
83,Basco,PH,50,1578922053,81,20.45,121.97,74.19,26.08
84,Hermanus,ZA,65,1578922053,90,-34.42,19.23,69.71,16.6
85,Pauini,BR,100,1578922053,96,-7.71,-66.98,72.82,0.49
86,Lagoa,PT,81,1578922053,82,39.05,-27.98,62.82,27.94
87,Meulaboh,ID,49,1578922053,72,4.14,96.13,84.0,6.93
88,Nova Mayachka,UA,24,1578922053,97,46.6,33.23,43.0,12.15
89,Lucea,JM,0,1578922053,84,18.45,-78.17,79.0,1.01
90,Bredasdorp,ZA,37,1578921840,46,-34.53,20.04,85.68,13.67
91,Nikolskoye,RU,0,1578922053,87,59.7,30.79,35.56,7.02
92,Rio Gallegos,AR,71,1578922053,67,-51.62,-69.22,59.18,16.55
93,Griffith,US,90,1578921970,90,41.53,-87.42,31.32,10.29
94,Port Elizabeth,ZA,20,1578921892,74,-33.92,25.57,80.6,17.22
95,East London,ZA,40,1578922054,83,-33.02,27.91,80.6,18.34
96,Hrubieszow,PL,100,1578922054,76,50.8,23.89,39.4,10.4
97,Half Moon Bay,US,18,1578922054,91,37.46,-122.43,42.91,1.99
98,Longyearbyen,SJ,0,1578922054,75,78.22,15.64,-16.29,4.21
99,Salta,AR,100,1578922054,76,-24.79,-65.41,71.76,1.23
100,Hilo,US,99,1578921843,90,19.73,-155.09,66.33,17.0
101,Kapaa,US,100,1578922054,93,22.08,-159.32,67.75,9.51
102,Jacmel,HT,0,1578922054,66,18.23,-72.53,79.88,7.07
103,Rio Grande,BR,33,1578921932,57,-32.03,-52.1,72.28,7.72
104,Hobyo,SO,100,1578922055,62,5.35,48.53,82.67,23.38
105,Porto-Novo,BJ,48,1578922055,61,6.5,2.6,88.79,10.0
106,Dongsheng,CN,0,1578922055,67,39.82,109.98,2.66,3.65
107,Lora del Rio,ES,82,1578922055,62,37.66,-5.53,54.95,1.01
108,Parfenyevo,RU,78,1578922055,84,58.48,43.41,31.53,9.69
109,Witu,KE,67,1578922055,62,-2.39,40.44,88.39,11.83
110,Karratha,AU,53,1578922055,82,-20.74,116.85,85.6,23.35
111,Kerman,IR,86,1578922055,30,30.28,57.08,39.07,2.71
112,Bengkulu,ID,90,1578922055,92,-3.8,102.27,74.97,3.15
113,Leningradskiy,RU,100,1578922055,93,69.38,178.42,-1.39,19.6
114,Ladnun,IN,85,1578922056,68,27.65,74.38,56.95,10.2
115,Berdigestyakh,RU,100,1578922056,98,62.1,126.7,-9.06,4.21
116,Codrington,AU,0,1578922056,85,-38.27,141.97,63.18,12.59
117,Khovd,MN,69,1578922056,89,48.01,91.64,-5.62,2.13
118,Tasiilaq,GL,75,1578922056,53,65.61,-37.64,23.0,5.82
119,Amarante do Maranhao,BR,20,1578922056,89,-5.57,-46.74,77.94,2.8
120,Katsuura,JP,0,1578922056,93,35.13,140.3,45.95,2.48
121,Aswan,EG,27,1578922056,22,24.09,32.91,75.61,12.33
122,Yulara,AU,100,1578922056,20,-25.24,130.99,93.06,7.7
123,Belmopan,BZ,51,1578922056,98,17.25,-88.77,73.0,2.8
124,Lompoc,US,5,1578922056,84,34.64,-120.46,40.68,15.86
125,Cabo San Lucas,MX,100,1578921810,44,22.89,-109.91,58.46,9.95
126,Gijang,KR,28,1578922056,52,35.24,129.21,41.5,9.22
127,Pisco,PE,34,1578922056,89,-13.7,-76.22,69.01,1.01
128,Tura,IN,0,1578922057,70,25.52,90.22,64.98,4.21
129,Safi,MA,66,1578922057,37,32.3,-9.24,63.43,6.06
130,Mount Gambier,AU,0,1578922057,85,-37.83,140.77,59.47,5.75
131,Castro,BR,100,1578921951,78,-24.79,-50.01,69.08,6.46
132,Esperance,AU,54,1578922057,85,-33.87,121.9,64.85,17.78
133,Leshukonskoye,RU,97,1578922057,93,64.9,45.76,20.35,6.76
134,Kirakira,SB,92,1578922057,87,-10.45,161.92,78.53,8.39
135,Bonthe,SL,4,1578922057,36,7.53,-12.51,90.19,2.55
136,Adela,PH,100,1578922057,78,12.44,120.97,74.59,2.04
137,Male,MV,90,1578921827,75,4.17,73.51,81.27,13.4
138,Saldanha,ZA,30,1578922057,78,-33.01,17.94,70.99,19.71
139,Hong Kong,HK,27,1578921957,72,22.29,114.16,64.89,8.01
140,Lorengau,PG,100,1578922057,75,-2.02,147.27,84.18,17.43
141,Sechura,PE,34,1578922057,83,-5.56,-80.82,70.05,10.78
142,Palmer,US,90,1578921975,68,42.16,-72.33,31.71,2.3
143,Ribeira Grande,PT,92,1578922058,88,38.52,-28.7,59.32,20.42
144,Lebu,CL,100,1578922058,79,-37.62,-73.65,60.3,7.96
145,Avera,US,96,1578922058,96,33.19,-82.53,64.65,4.09
146,Bambous Virieux,MU,40,1578922058,74,-20.34,57.76,83.21,11.41
147,Vestmannaeyjar,IS,75,1578922058,55,63.44,-20.27,33.8,6.93
148,Quatre Cocos,MU,40,1578922058,74,-20.21,57.76,83.3,11.41
149,Faanui,PF,100,1578922058,76,-16.48,-151.75,81.03,18.03
150,Ahipara,NZ,29,1578922058,98,-35.17,173.17,62.01,8.5
151,Xam Nua,LA,84,1578922058,95,20.42,104.04,59.4,3.06
152,Atar,MR,94,1578922059,16,20.52,-13.05,70.48,20.6
153,Chui,UY,27,1578922059,51,-33.7,-53.46,71.64,4.9
154,Sakakah,SA,0,1578922059,41,29.97,40.21,58.95,14.5
155,Campbell River,CA,14,1578922059,84,50.02,-125.24,21.99,1.99
156,Hambantota,LK,98,1578922059,72,6.12,81.12,83.91,8.01
157,Port Macquarie,AU,39,1578921778,80,-31.43,152.92,67.26,7.31
158,Osorno,CL,3,1578922059,83,-40.57,-73.15,58.15,2.1
159,Boa Vista,BR,0,1578922059,61,2.82,-60.67,78.53,15.61
160,Upala,CR,90,1578922059,1,10.9,-85.01,73.99,8.84
161,George Town,MY,90,1578921954,74,5.41,100.34,85.23,3.0
162,Kokopo,PG,86,1578922059,77,-4.35,152.26,83.28,15.57
163,Cidreira,BR,87,1578922059,67,-30.18,-50.21,75.61,7.78
164,Roald,NO,100,1578922060,62,62.58,6.13,42.1,11.99
165,Lovington,US,83,1578922060,45,32.94,-103.35,35.33,12.01
166,Salalah,OM,66,1578921838,18,17.02,54.09,72.66,16.93
167,Hualmay,PE,37,1578922060,88,-11.1,-77.61,66.72,2.98
168,Port Alfred,ZA,53,1578922060,85,-33.59,26.89,78.01,4.0
169,Chitral,PK,100,1578922060,97,35.85,71.79,19.26,1.72
170,Dakar,SN,0,1578921846,48,14.69,-17.44,72.63,9.64
171,Ushtobe,KZ,100,1578922060,98,45.25,77.98,29.77,3.18
172,Saint-Pierre,RE,100,1578922060,73,-21.34,55.48,77.63,14.74
173,Pasighat,IN,0,1578922060,69,28.07,95.33,61.77,1.99
174,Zapolyarnyy,RU,45,1578922060,89,69.42,30.81,11.05,5.86
175,Paamiut,GL,25,1578922060,75,61.99,-49.67,13.15,19.62
176,Karavukovo,RS,0,1578922060,85,45.49,19.19,29.48,1.97
177,Comodoro Rivadavia,AR,10,1578922061,64,-45.87,-67.5,63.5,6.08
178,Bandarbeyla,SO,79,1578922061,77,9.49,50.81,76.69,23.11
179,Yangi Marg`ilon,UZ,100,1578922061,67,40.43,71.72,38.46,9.28
180,Bonfim,BR,2,1578922061,64,3.08,-59.95,77.81,11.39
181,Luderitz,NA,0,1578922061,89,-26.65,15.16,64.47,23.89
182,Swellendam,ZA,1,1578922061,29,-34.02,20.44,91.09,10.65
183,Alekseyevka,RU,100,1578922061,92,50.63,38.69,31.8,14.79
184,Araouane,ML,34,1578922061,22,18.9,-3.53,64.94,20.33
185,Khash,IR,0,1578922061,32,28.22,61.22,44.64,3.27
186,Teguise,ES,0,1578922061,51,29.06,-13.56,63.36,11.59
187,Djambala,CG,18,1578922061,50,-2.54,14.75,84.24,2.71
188,Mount Isa,AU,30,1578922061,30,-20.73,139.5,91.29,11.61
189,Algete,ES,100,1578922061,69,40.6,-3.5,44.06,3.0
190,Puerto Colombia,CO,0,1578922062,68,10.99,-74.95,81.0,5.01
191,Isiro,CD,35,1578922062,17,2.77,27.62,96.35,1.77
192,Khipro,PK,0,1578922062,32,25.83,69.38,68.34,9.15
193,Akureyri,IS,87,1578922062,99,65.68,-18.09,13.89,5.41
194,Port Hedland,AU,58,1578922062,65,-20.32,118.57,87.39,18.77
195,Enshi,CN,99,1578922062,89,30.3,109.48,38.64,2.62
196,Wukari,NG,28,1578922062,11,7.85,9.78,103.44,4.41
197,Aklavik,CA,0,1578922062,83,68.22,-135.01,-15.0,19.1
198,Iqaluit,CA,100,1578922062,69,63.75,-68.51,-7.01,4.0
199,Sao Domingos,BR,41,1578922062,66,-13.4,-46.32,82.31,1.21
200,Norman Wells,CA,0,1578922062,77,65.28,-126.83,-14.69,6.98
201,Nehe,CN,0,1578922062,92,48.48,124.83,-4.09,2.17
202,Port-Gentil,GA,76,1578922062,72,-0.72,8.78,83.19,2.95
203,Biltine,TD,4,1578921964,5,14.53,20.92,92.08,14.5
204,Anadyr,RU,44,1578922063,71,64.75,177.48,6.01,5.99
205,Sioux Lookout,CA,35,1578921819,98,50.1,-91.92,-3.42,5.03
206,Santa Rosa,PH,100,1578922063,82,14.31,121.11,78.53,5.99
207,Lucapa,AO,40,1578922063,71,-8.42,20.74,80.1,4.7
208,Gold Coast,AU,100,1578922003,77,-28.0,153.43,72.46,3.0
209,Porbandar,IN,0,1578922063,61,21.64,69.61,70.93,18.54
210,Rock Sound,BS,30,1578922063,80,24.9,-76.2,75.99,19.66
211,Kamnik,SI,84,1578922063,87,46.23,14.61,40.95,0.96
212,Atuona,PF,1,1578922063,80,-9.8,-139.03,79.57,12.64
213,Nurota,UZ,45,1578922063,61,40.56,65.69,31.3,6.33
214,Sabang,ID,18,1578922063,77,5.89,95.32,82.17,10.33
215,Ondangwa,NA,66,1578922063,46,-17.92,15.95,84.15,2.57
216,Wattegama,LK,35,1578922063,73,6.8,81.48,75.63,7.9
217,Baghdad,IQ,89,1578922063,44,33.34,44.4,61.7,10.51
218,Vulcanesti,MD,5,1578922063,57,45.68,28.4,43.59,6.96
219,Tiznit,MA,0,1578922064,26,29.58,-9.5,58.41,0.87
220,Batagay-Alyta,RU,83,1578922064,84,67.8,130.41,-19.88,4.41
221,Siocon,PH,100,1578921786,79,7.71,122.14,80.4,15.03
222,Cairns,AU,67,1578922064,80,-16.92,145.77,78.33,13.56
223,Ponta do Sol,PT,84,1578922064,66,32.67,-17.1,60.82,3.0
224,Coyhaique,CL,40,1578922064,86,-45.58,-72.07,52.74,4.16
225,Hirara,JP,57,1578922064,75,24.8,125.28,67.55,21.77
226,Katima Mulilo,NA,100,1578922064,50,-17.5,24.27,85.87,6.6
227,Caravelas,BR,7,1578922064,87,-17.71,-39.25,77.79,12.53
228,Sao Filipe,CV,70,1578922064,65,14.9,-24.5,71.87,19.3
229,Lagan,RU,78,1578922064,71,45.39,47.37,35.04,15.77
230,Almaznyy,RU,99,1578922064,70,48.04,40.05,33.8,16.44
231,Itarema,BR,6,1578922064,74,-2.92,-39.92,82.78,7.07
232,Sitka,US,64,1578922065,64,57.05,-135.33,18.45,5.59
233,North Bend,US,100,1578922065,97,43.41,-124.22,41.61,5.91
234,Walvis Bay,NA,22,1578922065,81,-22.96,14.51,71.01,5.99
235,Khuzhir,RU,100,1578922065,90,53.19,107.34,12.45,6.78
236,Upernavik,GL,99,1578922065,96,72.79,-56.15,-10.86,10.8
237,Kununurra,AU,51,1578922065,51,-15.77,128.73,87.98,8.75
238,Borovichi,RU,76,1578922065,88,58.39,33.92,33.69,8.93
239,The Valley,AI,2,1578921816,76,18.22,-63.06,80.01,11.99
240,Muros,ES,100,1578922065,74,42.78,-9.06,52.39,18.99
241,Sept-Iles,CA,2,1578921827,77,50.2,-66.38,-4.0,9.95
242,Gobabis,NA,21,1578922002,27,-22.45,18.97,87.08,14.58
243,Asau,RO,0,1578922066,53,46.43,26.4,46.0,4.0
244,Viedma,AR,97,1578921924,26,-40.81,-63.0,80.01,14.65
245,Aleksandrov Gay,RU,100,1578922066,84,50.15,48.57,27.52,14.47
246,Udachny,RU,21,1578922066,93,66.42,112.4,-12.51,4.56
247,Arraial do Cabo,BR,85,1578922066,90,-22.97,-42.03,77.83,8.55
248,Honningsvag,NO,100,1578922066,97,70.98,25.97,33.22,2.75
249,Varzea Grande,BR,94,1578922066,79,-15.65,-56.13,80.47,8.32
250,Mizdah,LY,0,1578922066,48,31.45,12.98,51.39,4.81
251,Varadero,CU,2,1578922046,84,23.15,-81.25,74.61,12.88
252,Riberalta,BO,94,1578922066,98,-10.98,-66.1,73.47,2.95
253,Matamoros,MX,100,1578922066,49,25.53,-103.25,51.01,1.36
254,Leh,IN,100,1578922066,94,34.17,77.58,16.84,6.33
255,Hokitika,NZ,0,1578922066,76,-42.72,170.97,56.93,6.15
256,Warrnambool,AU,0,1578922066,93,-38.38,142.48,60.01,9.4
257,Xining,CN,93,1578922066,68,36.62,101.77,15.87,4.65
258,Lata,PT,100,1578922067,78,40.16,-8.33,50.63,1.01
259,Husavik,IS,67,1578922067,92,66.04,-17.34,24.93,2.3
260,Broken Hill,AU,0,1578922067,18,-31.95,141.43,80.94,9.62
261,Kungurtug,RU,22,1578922067,89,50.6,97.52,-6.32,3.13
262,Khatanga,RU,21,1578922067,85,71.97,102.5,-10.01,5.41
263,Wasilla,US,100,1578922067,80,61.58,-149.44,11.91,2.91
264,Aracaju,BR,20,1578921773,72,-10.91,-37.07,81.61,9.8
265,Naze,JP,90,1578922067,63,28.37,129.48,59.45,9.51
266,Hithadhoo,MV,100,1578922067,76,-0.6,73.08,81.57,11.88
267,Moron,AR,0,1578921832,33,-34.65,-58.62,78.35,7.0
268,Antofagasta,CL,100,1578921836,80,-23.65,-70.4,66.16,6.85
269,Tineo,ES,66,1578922067,36,43.34,-6.41,57.69,5.23
270,Makakilo City,US,100,1578922066,73,21.35,-158.09,75.52,11.99
271,Akersberga,SE,37,1578922067,75,59.48,18.3,37.76,8.01
272,Arman,RU,98,1578922068,90,59.7,150.17,-0.56,7.92
273,Barrow,US,90,1578922068,70,71.29,-156.79,-0.4,13.87
274,Praia da Vitoria,PT,86,1578922068,80,38.73,-27.07,63.39,28.36
275,Shaunavon,CA,100,1578922068,97,49.65,-108.42,-14.98,8.41
276,Klaksvik,FO,100,1578922068,81,62.23,-6.59,45.46,31.94
277,Namatanai,PG,100,1578922068,76,-3.67,152.43,83.57,9.46
278,Shieli,KZ,98,1578922068,80,44.17,66.75,23.63,0.51
279,Sayan,PE,1,1578922068,65,-11.14,-77.19,55.54,0.38
280,Codo,BR,74,1578922068,75,-4.46,-43.89,82.17,2.68
281,Provideniya,RU,100,1578922068,96,64.38,-173.3,15.1,8.5
282,Bilma,NE,50,1578922068,10,18.69,12.92,87.35,17.72
283,Myitkyina,MM,0,1578922068,61,25.38,97.4,61.43,0.89
284,Chapais,CA,85,1578922068,94,49.78,-74.85,-4.31,2.8
285,La Huaca,PE,53,1578922068,67,-4.91,-80.96,73.87,8.66
286,Waitati,NZ,4,1578921998,74,-45.75,170.57,52.0,1.99
287,Sungaipenuh,ID,100,1578922069,98,-2.08,101.38,64.69,1.99
288,Sao Joao da Barra,BR,61,1578922069,88,-21.64,-41.05,78.87,0.74
289,Primo Tapia,MX,4,1578922069,84,32.22,-116.92,45.9,1.01
290,Pevek,RU,100,1578922069,96,69.7,170.31,-5.73,6.33
291,Opuwo,NA,100,1578922069,46,-18.06,13.84,77.61,7.67
292,Farafangana,MG,17,1578922069,72,-22.82,47.83,81.93,13.47
293,Deputatsky,RU,0,1578922069,80,69.3,139.9,-25.17,3.78
294,Berlevag,NO,95,1578922069,91,70.86,29.09,31.62,20.15
295,Flin Flon,CA,100,1578922069,97,54.77,-101.86,-9.42,5.32
296,Chake Chake,TZ,3,1578922069,74,-5.25,39.77,84.99,12.62
297,Umm Lajj,SA,0,1578922069,11,25.02,37.27,74.66,13.06
298,Narsaq,GL,92,1578922070,45,60.92,-46.05,0.73,5.5
299,Nome,US,100,1578922070,92,64.5,-165.41,28.0,21.0
300,Caacupe,PY,100,1578922070,89,-25.38,-57.15,76.59,3.51
301,Valdivia,CL,0,1578922070,73,-39.81,-73.25,59.65,2.28
302,Faya,SA,0,1578922070,47,18.39,42.45,59.94,12.66
303,Tambura,SS,0,1578921907,9,5.6,27.47,96.15,4.05
304,Nemuro,JP,100,1578922070,66,43.32,145.57,27.75,9.89
305,Obihiro,JP,0,1578922070,80,42.92,143.2,15.87,6.87
306,Helong,CN,48,1578922070,91,42.54,129.0,-2.04,4.43
307,Ekhabi,RU,44,1578922070,98,53.51,142.97,-5.96,12.57
308,Labuhan,ID,45,1578922071,87,-6.88,112.21,77.65,5.91
309,Zhuanghe,CN,0,1578922071,39,39.7,122.99,21.99,1.99
310,Bubaque,GW,0,1578922071,49,11.28,-15.83,77.9,14.67
311,Ixtapa,MX,100,1578922071,92,20.7,-105.2,66.0,3.38
312,'Ahuimanu,US,100,1578922071,83,21.44,-157.84,75.47,4.0
313,Trelew,AR,28,1578922071,34,-43.25,-65.31,81.45,19.53
314,Coquimbo,CL,1,1578922071,88,-29.95,-71.34,61.05,5.86
315,Margate,GB,28,1578922051,80,51.38,1.39,47.77,11.01
316,Aksarka,RU,100,1578922071,94,66.56,67.8,13.33,11.74
317,Nola,IT,0,1578922071,44,40.92,14.53,54.25,1.99
318,Paranhos,BR,89,1578922071,73,-23.89,-55.43,81.5,4.45
319,Ayagoz,KZ,100,1578922071,91,47.97,80.44,17.2,5.91
320,Daru,PG,100,1578922072,94,-9.08,143.21,74.98,5.03
321,Pangoa,PE,25,1578921785,97,-12.12,-73.0,70.09,1.63
322,Poum,NC,99,1578922072,78,-20.23,164.02,80.1,27.07
323,Samarai,PG,100,1578921785,93,-10.62,150.67,74.89,4.9
324,Jackson,US,69,1578922004,94,42.42,-122.83,33.19,2.28
325,Den Helder,NL,23,1578921868,100,52.96,4.76,46.47,11.99
326,Abha,SA,5,1578921868,50,18.22,42.51,69.89,6.58
327,Pundaguitan,PH,65,1578922072,77,6.37,126.17,81.45,10.02
328,Ciudad Lazaro Cardenas,MX,12,1578922072,88,17.96,-102.2,71.89,3.49
329,Ambilobe,MG,87,1578922072,88,-13.2,49.05,79.74,4.0
330,Kaputa,ZM,57,1578922072,64,-8.47,29.66,78.84,3.91
331,Mahanoro,MG,86,1578922072,69,-19.9,48.8,82.92,9.66
332,Merauke,ID,98,1578922072,95,-8.47,140.33,74.64,3.91
333,Mawlaik,MM,9,1578922072,66,23.63,94.42,65.62,1.1
334,Kamen'-Rybolov,RU,50,1578922072,91,44.75,132.04,2.25,1.66
335,Louangphabang,LA,32,1578922073,69,19.89,102.13,68.77,2.44
336,Vinh,VN,95,1578922073,93,18.67,105.67,68.92,3.85
337,Terney,RU,49,1578922073,77,45.05,136.61,6.67,6.85
338,Soyo,AO,20,1578922073,59,-6.13,12.37,89.6,9.17
339,Port Hardy,CA,100,1578922073,76,50.7,-127.42,14.47,5.06
340,Kiryat Gat,IL,93,1578922073,27,31.61,34.76,59.79,12.68
341,Florida,US,89,1578921833,91,28.75,-82.5,68.47,9.37
342,Bandar,ID,3,1578922073,83,2.05,99.75,78.39,3.53
343,Benghazi,LY,78,1578922073,47,32.12,20.07,61.11,18.77
344,Kumul,CN,65,1578922074,45,42.8,93.45,20.16,1.14
345,Kaeo,NZ,27,1578922074,98,-35.1,173.78,60.64,9.46
346,Fuyu,CN,38,1578922074,99,45.18,124.82,-5.57,3.44
347,Arlit,NE,0,1578922074,9,18.74,7.39,78.15,8.81
348,Ola,RU,100,1578922074,79,59.58,151.28,-7.08,7.52
349,Kalat,PK,7,1578922074,78,29.02,66.59,22.26,5.91
350,Murashi,RU,99,1578922074,89,59.4,48.96,31.08,11.86
351,Grand Gaube,MU,40,1578922074,74,-20.01,57.66,83.46,11.41
352,Ossora,RU,80,1578922074,75,59.24,163.07,11.28,3.2
353,Laas,IT,61,1578922074,37,46.62,10.7,41.0,3.0
354,Toucheng,TW,100,1578922074,99,24.86,121.82,61.23,15.05
355,Santa Cruz de la Sierra,BO,90,1578921809,19,-17.8,-63.17,80.01,10.0
356,Bulawayo,ZW,5,1578922075,37,-20.15,28.58,87.21,13.06
357,Saint Anthony,US,90,1578922075,78,45.02,-93.22,14.18,4.7
358,Mpongwe,ZM,89,1578922075,66,-13.51,28.16,78.6,5.3
359,Mossamedes,AO,17,1578922075,78,-15.2,12.15,74.16,7.27
360,Bangkal,PH,56,1578922075,92,6.07,121.07,75.54,4.25
361,Chara,RU,16,1578922075,78,56.91,118.26,-16.33,0.29
362,Waddan,LY,99,1578922075,87,29.16,16.14,48.76,12.08
363,Birao,CF,2,1578922075,10,10.28,22.79,86.31,16.08
364,Kailua,US,83,1578922075,83,21.4,-157.74,75.43,4.0
365,Rimouski,CA,100,1578922075,81,48.45,-68.52,5.0,5.64
366,Porto de Moz,BR,57,1578922075,88,-1.75,-52.24,77.52,2.77
367,Lakes Entrance,AU,0,1578922075,77,-37.88,147.98,60.73,6.71
368,Padang,ID,100,1578922076,97,-0.95,100.35,69.87,0.69
369,Coracao de Maria,BR,45,1578922076,74,-12.23,-38.75,78.35,4.09
370,Hasaki,JP,0,1578922076,99,35.73,140.83,41.38,1.99
371,Henties Bay,NA,13,1578922076,81,-22.12,14.28,71.01,5.99
372,Tezu,IN,0,1578922076,55,27.92,96.17,59.65,4.61
373,Tongliao,CN,0,1578922076,88,43.61,122.27,-2.36,3.38
